time,open,high,low,close,Volume,Volume MA
2019-08-21T22:00:00Z,0.6793,0.6793,0.6793,0.6793,0,10.15
2019-08-22T22:00:00Z,0.6785,0.6786,0.6785,0.6786,1,10.2
2019-08-25T22:00:00Z,0.6818,0.6818,0.6809,0.6809,1,10.25
2019-08-26T22:00:00Z,0.679,0.679,0.679,0.679,0,10.25
2019-08-27T22:00:00Z,0.6794,0.6794,0.6772,0.6772,3,10.4
2019-08-28T22:00:00Z,0.6765,0.6765,0.6762,0.6762,1,10.15
2019-08-29T22:00:00Z,0.6748,0.6763,0.6748,0.6762,0,9.55
2019-09-02T22:00:00Z,0.6755,0.6793,0.6747,0.6793,155,17.3
2019-09-03T22:00:00Z,0.6813,0.6829,0.6813,0.6829,4,17.1
2019-09-04T22:00:00Z,0.6847,0.6847,0.6847,0.6847,6,16.6
2019-09-05T22:00:00Z,0.6884,0.6885,0.6878,0.6878,27,13.1
2019-09-08T22:00:00Z,0.6878,0.69,0.6878,0.6895,83,16.45
2019-09-09T22:00:00Z,0.6887,0.6892,0.6887,0.6892,158,22.75
2019-09-10T22:00:00Z,0.6899,0.6909,0.6891,0.6891,13,23.3
2019-09-11T22:00:00Z,0.69,0.6919,0.6896,0.6896,10,23.7
2019-09-12T22:00:00Z,0.6911,0.6911,0.6911,0.6911,4,23.9
2019-09-15T22:00:00Z,0.6907,0.6907,0.6893,0.69,417,44.75
2019-09-16T22:00:00Z,0.6878,0.6894,0.6865,0.6894,9,44.6
2019-09-17T22:00:00Z,0.6896,0.6896,0.6858,0.6858,49,47.05
2019-09-18T22:00:00Z,0.686,0.686,0.682,0.6834,22,48.15
2019-09-19T22:00:00Z,0.6825,0.6832,0.6798,0.6798,77,52
2019-09-22T22:00:00Z,0.6807,0.681,0.68,0.6803,253,64.6
2019-09-23T22:00:00Z,0.6812,0.6838,0.6812,0.6832,56,67.35
2019-09-24T22:00:00Z,0.6827,0.6827,0.6782,0.6788,26,68.65
2019-09-25T22:00:00Z,0.6785,0.6807,0.678,0.6786,11,69.05
2019-09-26T22:00:00Z,0.6784,0.6803,0.6784,0.6792,8,69.4
